RXCUI,TenThuoc
7442,nitric oxide
7454,nitrofurantoin
7456,nitrogen
7476,nitroprusside
7486,nitrous oxide
7512,norepinephrine
7514,norethindrone
7518,norgestrel
7531,nortriptyline
7597,nystatin
7617,octreotide
7623,ofloxacin
7624,clove oil
7646,omeprazole
7676,opium
7688,metaproterenol
7715,orphenadrine
7773,oxacillin
7779,oxandrolone
7781,oxazepam
7798,oxolinic acid
7804,oxycodone
7806,oxygen
7812,oxymetazoline
7814,oxymorphone
7824,oxytocin
7832,4-aminohippuric acid
7833,aminosalicylic acid
7839,p-hydroxyamphetamine
7880,pancreatin
7883,pancuronium
7891,pantothenic acid
7892,papain
7895,papaverine
7906,paraffin
7934,paromomycin
7975,penicillamine
7980,penicillin G
7984,penicillin V
7994,pentamidine
8001,pentazocine
8004,pentobarbital
8011,pentostatin
8013,pentoxifylline
8016,pepsin A
8031,protease
8076,perphenazine
8091,petrolatum
8120,phenazopyridine
8123,phenelzine
8126,phenylethyl alcohol
8132,pheniramine
8134,phenobarbital
8141,phenolsulfonphthalein
8149,phenoxybenzamine
8152,phentermine
8153,phentolamine
8156,phenylalanine
8160,phenylbutazone
8163,phenylephrine
8183,phenytoin
8214,lecithin
8259,phosphoric acid
8299,physostigmine
8302,phytic acid
8308,vitamin K1
8310,phytosterols
8328,pilocarpine
8331,pimozide
8332,pindolol
8333,pine tar
8339,piperacillin
8340,piperazine
8345,piperonyl butoxide
8356,piroxicam
8410,alteplase
8462,podophyllin
8463,podofilox
8513,polyethylene glycol 300
8514,polyethylene glycol 400
8516,polyethylene glycols
8536,polymyxin B
8559,polysorbate 20
8560,polysorbate 80
8570,polyvinyl alcohol
8588,potassium
8589,potassium aspartate
8591,potassium chloride
8597,potassium iodide
8606,potassium sorbate
8610,povidone
8611,povidone-iodine
8628,praziquantel
8629,prazosin
8638,prednisolone
8640,prednisone
8686,prilocaine
8687,primaquine
8691,primidone
8698,probenecid
8700,procainamide
8701,procaine
8702,procarbazine
8703,fenofibrate
8704,prochlorperazine
8723,proflavine
8727,progesterone
8737,proline
8745,promethazine
8754,propafenone
